Nazwisko,Liczba wystąpień
NOWAK,139 325
KOWALSKA,89 885
WIŚNIEWSKA,70 701
WÓJCIK,63 894
KOWALCZYK,62 407
KAMIŃSKA,60 965
LEWANDOWSKA,60 468
DĄBROWSKA,59 520
ZIELIŃSKA,58 929
SZYMAŃSKA,57 725
WOŹNIAK,56 867
KOZŁOWSKA,48 989
JANKOWSKA,44 250
KWIATKOWSKA,43 122
WOJCIECHOWSKA,43 039
MAZUR,42 846
KRAWCZYK,41 172
PIOTROWSKA,40 020
KACZMAREK,40 003
GRABOWSKA,37 556
PAWŁOWSKA,35 874
MICHALSKA,35 591
ZAJĄC,35 054
KRÓL,34 519
NOWAKOWSKA,34 123
WIECZOREK,33 083
JABŁOŃSKA,32 447
WRÓBEL,32 054
ADAMCZYK,32 031
MAJEWSKA,32 005
DUDEK,31 360
NOWICKA,31 293
OLSZEWSKA,30 823
JAWORSKA,30 442
MALINOWSKA,30 344
STĘPIEŃ,30 100
GÓRSKA,29 229
PAWLAK,29 116
WITKOWSKA,28 926
WALCZAK,28 427
RUTKOWSKA,28 246
SIKORA,28 245
MICHALAK,27 533
SZEWCZYK,27 327
OSTROWSKA,27 086
BARAN,26 862
TOMASZEWSKA,26 100
PIETRZAK,25 436
WRÓBLEWSKA,25 043
ZALEWSKA,24 936
MARCINIAK,24 912
JASIŃSKA,24 796
DUDA,24 548
JAKUBOWSKA,24 478
ZAWADZKA,24 396
SADOWSKA,24 246
BĄK,23 204
WŁODARCZYK,23 174
CHMIELEWSKA,22 918
BORKOWSKA,22 824
WILK,22 417
SOKOŁOWSKA,22 398
SZCZEPAŃSKA,21 976
SAWICKA,21 897
KUCHARSKA,21 413
LIS,21 168
MACIEJEWSKA,20 993
KUBIAK,20 758
CZARNECKA,20 741
KALINOWSKA,20 686
MAZUREK,20 674
WYSOCKA,20 580
URBAŃSKA,19 838
KOŁODZIEJ,19 803
KAŹMIERCZAK,19 439
SOBCZAK,18 340
GŁOWACKA,18 215
KRAJEWSKA,18 108
ZAKRZEWSKA,18 097
SIKORSKA,18 081
ADAMSKA,17 932
WASILEWSKA,17 862
KRUPA,17 819
ZIÓŁKOWSKA,17 647
GAJEWSKA,17 609
LASKOWSKA,17 520
MAKOWSKA,17 425
SZULC,17 311
CZERWIŃSKA,17 283
SZYMCZAK,17 170
PRZYBYLSKA,17 112
BRZEZIŃSKA,17 111
MRÓZ,17 060
BARANOWSKA,17 056
BŁASZCZYK,16 977
ANDRZEJEWSKA,16 904
